Date,NO2,O3,CO2,SO2,PM10,china,china1,china2,china3,Rainfall(mm/day),Wind velocity(m/s),Humidity,Wind direction_E,Wind direction_NE,Wind direction_NW,Wind direction_S,Wind direction_SE,Wind direction_SW,Wind direction_W
20100101,0.038297297297297306,0.006972972972972977,0.6567567567567567,0.0069189189189189215,34.2972972972973,129.0,144.33333333333334,78.375,29.29166666666667,0.0,1.8375,46.25,1,0,0,0,0,0,0
20100102,0.03624324324324325,0.009162162162162164,0.6594594594594593,0.007675675675675679,52.189189189189186,144.33333333333334,78.375,29.29166666666667,43.54166666666666,1.4,2.6291666666666664,73.125,0,0,0,1,0,0,0
20100103,0.036162162162162184,0.014189189189189197,0.6756756756756754,0.007378378378378381,48.405405405405396,78.375,29.29166666666667,43.54166666666666,59.375,0.0,2.433333333333333,48.75,0,0,0,0,0,0,1
20100104,0.03845945945945947,0.01121621621621622,0.6270270270270268,0.005108108108108111,38.48648648648648,29.29166666666667,43.54166666666666,59.375,72.45833333333333,14.2,2.691666666666667,78.41666666666667,0,0,0,1,0,0,0
20100105,0.029081081081081095,0.02029729729729731,0.5351351351351351,0.006351351351351356,48.75675675675675,43.54166666666666,59.375,72.45833333333333,174.33333333333337,0.0,2.9041666666666663,64.04166666666667,0,0,0,0,0,0,1
20100106,0.038648648648648656,0.014540540540540547,0.6054054054054053,0.005837837837837842,38.67567567567568,59.375,72.45833333333333,174.33333333333337,84.75,0.0,1.9416666666666669,63.875,0,0,1,0,0,0,0
20100107,0.055378378378378376,0.008513513513513517,0.8810810810810811,0.007378378378378381,61.62162162162162,72.45833333333333,174.33333333333337,84.75,55.08333333333334,0.0,1.679166666666667,63.08333333333334,0,0,0,1,0,0,0
20100108,0.06908108108108109,0.00610810810810811,1.164864864864865,0.008486486486486491,81.37837837837837,174.33333333333337,84.75,55.08333333333334,19.916666666666668,0.0,1.7,66.04166666666667,0,0,0,0,1,0,0
20100109,0.075,0.003594594594594596,1.2513513513513512,0.00756756756756757,81.72222222222223,84.75,55.08333333333334,19.916666666666668,20.5,0.0,1.4916666666666671,63.29166666666666,0,0,0,0,1,0,0
20100110,0.06294594594594592,0.004729729729729733,1.0243243243243243,0.007756756756756761,69.77777777777777,55.08333333333334,19.916666666666668,20.5,42.708333333333336,0.4,1.3166666666666669,79.41666666666667,1,0,0,0,0,0,0
20100111,0.05635135135135137,0.008108108108108112,1.0756756756756758,0.008162162162162166,76.5,19.916666666666668,20.5,42.708333333333336,92.08333333333331,0.0,1.8125,75.54166666666667,0,0,0,0,0,0,1
20100112,0.030540540540540555,0.017972972972972984,0.5297297297297298,0.007729729729729733,34.111111111111114,20.5,42.708333333333336,92.08333333333331,49.83333333333334,0.0,2.770833333333334,63.58333333333334,0,0,0,0,0,0,1
20100113,0.0277837837837838,0.01843243243243244,0.5081081081081079,0.007459459459459464,35.583333333333336,42.708333333333336,92.08333333333331,49.83333333333334,182.70833333333331,0.0,2.9083333333333337,46.625,0,0,0,0,0,0,1
20100114,0.0544864864864865,0.005945945945945949,0.8405405405405406,0.007216216216216219,47.805555555555564,92.08333333333331,49.83333333333334,182.70833333333331,210.0,0.0,2.3833333333333324,54.375,0,0,0,1,0,0,0
20100115,0.05281081081081083,0.009000000000000003,0.827027027027027,0.008722222222222227,56.08333333333334,49.83333333333334,182.70833333333331,210.0,263.375,0.2,1.95,54.29166666666666,1,0,0,0,0,0,0
20100116,0.057486486486486486,0.008027027027027029,0.9027027027027028,0.007944444444444448,60.58333333333334,182.70833333333331,210.0,263.375,341.0,0.1,2.045833333333334,62.41666666666666,0,0,0,0,0,0,1
20100117,0.0645945945945946,0.0061351351351351365,1.0648648648648646,0.008250000000000004,56.47222222222222,210.0,263.375,341.0,70.91666666666667,0.0,1.8833333333333333,47.29166666666666,0,0,0,0,0,1,0
20100118,0.07240540540540544,0.0029189189189189205,1.3540540540540542,0.009388888888888895,78.41666666666667,263.375,341.0,70.91666666666667,27.75,0.0,1.4041666666666668,59.375,0,0,0,0,1,0,0
20100119,0.06964864864864866,0.0044166666666666686,1.2243243243243245,0.00969444444444445,89.7837837837838,341.0,70.91666666666667,27.75,30.0,0.0,1.6041666666666663,67.125,0,1,0,0,0,0,0
20100120,0.07389189189189191,0.002108108108108109,1.883783783783784,0.007378378378378381,63.1081081081081,70.91666666666667,27.75,30.0,21.5625,4.0,1.9333333333333336,70.625,1,0,0,0,0,0,0
20100121,0.027513513513513527,0.017594594594594604,0.5162162162162164,0.00456756756756757,42.189189189189186,27.75,30.0,21.5625,95.62533535908652,6.5,2.075,91.66666666666669,0,0,0,1,0,0,0
20100122,0.02702702702702704,0.017864864864864875,0.4621621621621623,0.00521621621621622,41.24324324324324,30.0,21.5625,95.62533535908652,95.62533535908652,0.0,3.6791666666666663,56.29166666666666,0,0,1,0,0,0,0
20100123,0.0365945945945946,0.01397297297297298,0.5783783783783786,0.006810810810810816,49.270270270270274,21.5625,95.62533535908652,95.62533535908652,203.53846153846158,0.0,3.2333333333333325,44.29166666666666,0,0,0,0,0,0,1
20100124,0.04459459459459459,0.009513513513513516,0.7243243243243244,0.009432432432432438,58.7027027027027,95.62533535908652,95.62533535908652,203.53846153846158,110.70833333333331,0.0,1.8916666666666664,42.66666666666666,0,0,0,0,0,0,1
20100125,0.03197297297297299,0.01540540540540541,0.6189189189189189,0.009027027027027032,127.2162162162162,95.62533535908652,203.53846153846158,110.70833333333331,21.125,0.0,2.8208333333333333,62.66666666666666,0,0,0,1,0,0,0
20100126,0.04562162162162163,0.010270270270270276,0.7027027027027029,0.006864864864864871,58.75675675675675,203.53846153846158,110.70833333333331,21.125,25.625,0.0,3.3875,52.20833333333334,0,0,0,0,0,0,1
20100127,0.05721621621621624,0.003514285714285716,1.0054054054054056,0.00621621621621622,54.83783783783784,110.70833333333331,21.125,25.625,45.29166666666666,0.0,1.9666666666666668,46.04166666666666,0,0,0,0,0,1,0
20100128,0.03827027027027028,0.011540540540540543,0.6297297297297297,0.006945945945945949,55.27777777777778,21.125,25.625,45.29166666666666,38.41666666666666,1.0,2.0375,66.41666666666667,1,0,0,0,0,0,0
20100129,0.03986486486486488,0.012648648648648654,0.6378378378378379,0.0065405405405405456,47.918918918918926,25.625,45.29166666666666,38.41666666666666,64.66666666666667,1.5,3.0375,73.54166666666667,0,0,0,0,0,0,1
20100130,0.05408108108108109,0.006351351351351355,0.8621621621621619,0.011081081081081086,79.70270270270271,45.29166666666666,38.41666666666666,64.66666666666667,65.91666666666667,0.0,2.920833333333334,48.95833333333334,0,0,0,0,0,1,0
20100131,0.06005405405405405,0.002885714285714287,1.2351351351351354,0.009324324324324328,99.81081081081079,38.41666666666666,64.66666666666667,65.91666666666667,78.95833333333333,0.0,2.120833333333333,58.41666666666666,0,0,0,1,0,0,0
20100201,0.04467567567567568,0.009611111111111115,0.9567567567567568,0.007837837837837841,107.37837837837836,64.66666666666667,65.91666666666667,78.95833333333333,56.20833333333334,0.0,1.4833333333333332,76.16666666666667,0,0,0,0,1,0,0
20100202,0.02394594594594596,0.02308108108108109,0.4108108108108109,0.004405405405405407,26.777777777777782,65.91666666666667,78.95833333333333,56.20833333333334,78.58333333333333,0.0,1.666666666666667,79.91666666666667,0,0,0,0,0,1,0
